X,Y,OBJECTID,ID_CICLOPARQUEDERO,CIV,CLASECICLOP,NOMBRECICLOP,SECTORCICLOP,TIPOUSUARIOCICLOP,LOCALIDAD,DIRECCIONCICLOP,HORARIOCICLOP,TIPOLOGIACICLOP,CUPOCICLOP,SELLOCICLOP,ANOCICLOP,GLOBALID
-74.052331282,4.67908144,183,1182,2000294,F,Edifico Fijar 93 - MTS,2,2,2,CL 93B 16 - 47,L-V 8:00 - 16:00,8,51,1,2022,{E2E22B4E-EEE5-4A92-A155-855CB9717C35}
-74.10099645,4.585629584,184,1183,15001027,F,Alcaldia Local de Antonio Nariño,1,1,15,CL 17 Sur 18 49,L-V 7:30 - 16:30,2,28,1,2022,{D88461FA-ABFD-4C8A-8CE4-FC8A67C2E5DF}
-74.114978993,4.58108702300001,185,1184,18000881,F,Alcaldia Local de Rafael Uribe Uribe,1,1,18,CL 32 Sur 23 62,L-V 7:00 - 16:30  S:8:00 - 12:00,2,38,1,2022,{AC5B0DD4-84D6-48B8-9119-6A66D1292487}
-74.064660521,4.64168083200002,186,1185,2001661,F,Alcaldia Local de Chapinero,1,1,2,KR 13 54 74,L-V 7:00 - 16:30,1,30,1,2022,{ABC949A1-5ECF-4BE8-BBCC-35B157806C46}
-74.071517625,4.60687650599999,187,1186,3000540,F,ETB- Sede Centro,1,1,3,KR 8 20 22,L-S 8:00 - 17:00,8,42,1,2022,{2D641E82-9ECE-4D2E-BE2B-A7FB56105D52}
-74.11281862,4.71204337900002,188,1187,10002271,F,ETB- Sede Bachue,1,1,10,CL 80 101 7,L-S 8:00 - 18:00,8,36,1,2022,{7C0646C9-E2D6-4ABC-95F2-3CEEEE71BAD1}
-74.12622435,4.57186158799999,189,1188,6001285,F,ETB- Sede San Carlos,1,1,6,TV 19 45B 38 Sur,L-S 8:00 - 17:00,8,36,1,2022,{4ED3C11C-C8BD-4612-BFB2-594624AAB38A}
-74.092151945,4.74430259899998,190,1189,11003693,F,Centro comercial Fiesta Suba,2,1,11,CL 147 101 56,L-S 7:00 - 20:00  D 8:00 - 20:00,8,107,1,2022,{E3C7FC9F-C157-4AC6-925B-85FEAA61E639}
-74.073937,4.71130900000003,191,1190,11010274,F,Centro Comercial Niza,2,1,11,KR 70 D 127 48,L-D 06:00 - 22:00,8,60,1,2018,{5C39D896-11F5-46DB-A2CE-20102E24C0F8}
-74.059322,4.65770600000002,192,1191,2001060,F,City Parking Calle 72,2,1,2,CL 72 11 61,L-S 06:00 - 22:00  D-F 10:00 - 18:00,8,24,1,2021,{B706E5FE-583B-4965-9CED-B8814EF0131A}
-74.039639,4.67956400000003,193,1192,2000225,F,Banco Itaú,2,2,2,CL 99 7A 44,L-V 5:30 - 22:00  S 06:00 - 14:00,8,65,1,2019,{07F630B5-DE8C-4C14-AA81-66BA159C87BF}
-74.046634,4.66544499999998,194,1193,2000806,F,City Parking Body Cabrera,2,1,2,CL 85 7 13,L-V 07:00 - 18:30  S 8:00 - 12:30,8,24,1,2021,{930F8FAA-5E0F-4D67-ACFA-3D34242A77FA}
-74.079478,4.59991600000001,195,1194,3000776,F,"Secretaría de Cultura, Recreación y Deporte",1,1,17,CL 9 9 63,L-V 07:00 - 18:00,8,43,1,2019,{811DDBAA-8BF9-4876-93E0-1B17FD6747C5}
-74.081948,4.62555800000001,196,1195,13002538,F,Secretaría Distrital de Hacienda,1,1,13,KR 30 25-90,L-S:7:00 - 20:00,8,334,1,2020,{2807A4E9-3E40-4EC0-8258-507B5C6C9519}
-74.099673,4.64435500000002,197,1196,13000777,F,Parking International Grand Hyatt,2,1,13,CL 24a 57 60,L-D 24h,8,190,1,2020,{A6B99461-A508-41C0-BBF1-2AC5E070D1E1}
